Timestamp,Symbol,Type,Action,Price,Stop Loss,Take Profit,Result
2024-09-02T14:40:01.878Z,BTC/USDT,long,exit,58592.40,58132.00,58321.60,397.20
2024-09-02T14:41:01.879Z,BTC/USDT,short,entry,58560.30,58688.70,58303.50,
2024-09-02T14:47:01.879Z,BTC/USDT,short,exit,58657.90,58688.70,58303.50,-97.60
2024-09-02T14:52:01.881Z,BTC/USDT,short,entry,58593.20,58690.80,58398.00,
2024-09-02T15:07:01.882Z,BTC/USDT,short,exit,58608.70,58690.80,58398.00,-15.50
2024-09-02T15:10:01.883Z,BTC/USDT,long,entry,58680.20,58642.00,58756.60,
2024-09-02T15:12:01.883Z,BTC/USDT,long,exit,58589.50,58642.00,58756.60,-90.70
2024-09-02T15:15:01.884Z,BTC/USDT,short,entry,58593.10,58624.00,58531.30,
2024-09-02T15:21:01.883Z,BTC/USDT,short,exit,58637.10,58624.00,58531.30,-44.00
2024-09-02T15:23:01.885Z,BTC/USDT,long,entry,58646.00,58602.50,58733.00,
2024-09-02T15:27:01.885Z,BTC/USDT,long,exit,58581.10,58602.50,58733.00,-64.90
2024-09-02T15:28:01.885Z,BTC/USDT,short,entry,58545.90,58637.50,58362.70,
2024-09-02T15:35:01.886Z,BTC/USDT,short,exit,58618.50,58637.50,58362.70,-72.60
2024-09-02T15:38:01.886Z,BTC/USDT,long,entry,58685.50,58600.00,58856.50,
2024-09-02T15:43:01.887Z,BTC/USDT,long,exit,58644.90,58600.00,58856.50,-40.60
2024-09-02T15:48:01.889Z,BTC/USDT,short,entry,58558.00,58647.30,58379.40,
2024-09-02T15:52:01.889Z,BTC/USDT,short,exit,58643.30,58647.30,58379.40,-85.30
2024-09-02T15:54:01.888Z,BTC/USDT,short,entry,58570.00,58649.00,58412.00,
2024-09-02T16:04:01.892Z,BTC/USDT,short,exit,58534.30,58649.00,58412.00,35.70
2024-09-02T16:06:01.892Z,BTC/USDT,long,entry,58566.00,58532.00,58634.00,
2024-09-02T16:08:01.892Z,BTC/USDT,long,exit,58516.50,58532.00,58634.00,-49.50
2024-09-02T16:10:01.894Z,BTC/USDT,short,entry,58524.90,58565.80,58443.10,
2024-09-02T16:12:01.894Z,BTC/USDT,short,exit,58559.10,58565.80,58443.10,-34.20
2024-09-02T16:13:01.893Z,BTC/USDT,long,entry,58543.10,58521.40,58586.50,
2024-09-02T16:19:01.896Z,BTC/USDT,long,exit,58534.00,58521.40,58586.50,-9.10
2024-09-02T16:20:01.896Z,BTC/USDT,short,entry,58524.00,58575.00,58422.00,
2024-09-02T16:36:01.898Z,BTC/USDT,short,exit,58491.20,58575.00,58422.00,32.80
2024-09-02T16:37:01.897Z,BTC/USDT,long,entry,58467.40,58417.10,58568.00,
2024-09-02T16:39:01.899Z,BTC/USDT,long,exit,58329.70,58417.10,58568.00,-137.70
2024-09-02T16:52:01.902Z,BTC/USDT,short,entry,58312.00,58343.40,58249.20,
2024-09-02T17:00:01.903Z,BTC/USDT,short,exit,58316.70,58343.40,58249.20,-4.70
2024-09-02T17:01:01.904Z,BTC/USDT,long,entry,58342.80,58293.50,58441.40,
2024-09-02T17:09:01.906Z,BTC/USDT,long,exit,58349.60,58293.50,58441.40,6.80
2024-09-02T17:16:01.909Z,BTC/USDT,short,entry,58294.90,58360.60,58163.50,
2024-09-02T17:19:01.910Z,BTC/USDT,short,exit,58370.00,58360.60,58163.50,-75.10
2024-09-02T17:20:01.910Z,BTC/USDT,long,entry,58390.30,58332.10,58506.70,
2024-09-02T17:27:01.911Z,BTC/USDT,long,exit,58333.10,58332.10,58506.70,-57.20
2024-09-02T17:30:01.913Z,BTC/USDT,long,entry,58431.80,58369.40,58556.60,
2024-09-02T17:32:01.913Z,BTC/USDT,long,exit,58365.00,58369.40,58556.60,-66.80
2024-09-02T17:33:01.913Z,BTC/USDT,long,entry,58435.00,58359.50,58586.00,
2024-09-02T17:43:01.913Z,BTC/USDT,long,exit,58419.30,58359.50,58586.00,-15.70
2024-09-02T17:44:01.914Z,BTC/USDT,short,entry,58419.30,58452.70,58352.50,
